Tanggal,ID Transaksi,Items
2021-05-01,PJ0019,Grape ICE Jago rasa New50
2021-05-02,PJ0020,"3PUTRI Cap Nona 100gr Pink,3P Cap Nona 100gr Pink,Buffalo Baret"
2021-05-02,PJ0021,Banana ICE Jago rasa New50
2021-05-02,PJ0022,Black Coffe SW Prime
2021-05-02,PJ0023,"RM,SW White Coffe"
2021-05-02,PJ0024,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam,Filter Mild 14gr,Ppir Naraya"
2021-05-02,PJ0025,Samsu Premium JR Rokok 100gr
2021-05-02,PJ0026,"3PUTRI Cap Nona 100gr Pink,3P Cap Nona 100gr Pink,Burung Hantu"
2021-05-02,PJ0027,"Buffalo Baret,Country Man"
2021-05-02,PJ0028,3P Cap Nona 150gr Hitam
2021-05-03,PJ0029,Banana ICE Jago rasa New50
2021-05-11,PJ0030,"Whiskey Duren Simadu,Alat Lintink Kecil Mild,Lem V-tro kecil 10gr,Filter Mild 14gr,Buffalo Baret"
2021-05-11,PJ0031,"Filter Mild 14gr,RM"
2021-05-11,PJ0032,"Banana ICE Jago rasa New50,Alat Lintink Kecil Mild,Buffalo Baret"
2021-05-11,PJ0033,Kotak Rokok
2021-05-11,PJ0034,Mars Brand
2021-05-11,PJ0035,"Banana ICE Jago rasa New50,Lem V-tro kecil 10gr"
2021-05-11,PJ0036,GAYO
2021-05-12,PJ0037,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam"
2021-05-12,PJ0038,"Black Coffe SW Prime,Kotak Rokok"
2021-05-12,PJ0039,Buffalo Baret
2021-05-12,PJ0040,Buffalo Baret
2021-05-12,PJ0041,"Samsu Premium JR Rokok 50gr,Lem V-tro kecil 10gr"
2021-05-12,PJ0042,"Black Coffe SW Prime,Buffalo Baret"
2021-05-12,PJ0043,"Black Coffe SW Prime,Buffalo Baret"
2021-05-16,PJ0044,"3PUTRI Cap Nona 120gr Hitam,3P Cap Nona 120gr Hitam"
2021-05-16,PJ0045,"Warning 50gr,GAYO,Guntur Simadu (Hitam)"
2021-05-17,PJ0046,"3P Cap Nona 150gr Hitam,Buffalo Baret"
2021-05-17,PJ0047,"Warning 50gr,Alat Linting Kecil Regular,Lem V-tro kecil 10gr,Buffalo Baret"
2021-05-17,PJ0048,Sampoerna Mild JR Rokok 100gr
2021-05-17,PJ0049,"Marlboro Merah JR Rokok 100gr,Buffalo Baret"
2021-05-17,PJ0050,"Sampoerna Mild JR Rokok 100gr,Buffalo Baret"
2021-05-17,PJ0051,Duren Simadu Soju Mint
2021-05-18,PJ0052,"Tembakau Mole cap Jago Jebra Hitam 50gr,Ppir Naraya"
2021-05-18,PJ0053,Grape ICE Jago rasa New50
2021-05-18,PJ0054,"Lem V-tro besar 25gr,Duren Simadu Strawbery Milky Ice"
2021-05-18,PJ0055,Duren Simadu Strawbery Milky Ice
2021-05-18,PJ0056,"Surya JR Rokok 100gr,Papir rokok,kotak jinggo,Buffalo Baret"
2021-05-18,PJ0057,Papir pabrikan
2021-05-18,PJ0058,"3P ONAN 50gr Putih,Buffalo Baret"
2021-05-19,PJ0059,3P ONAN 50gr Putih
2021-05-19,PJ0060,"Lem V-tro kecil 10gr,Ppir Naraya,Cengkeh"
2021-05-19,PJ0061,"Samsu JR Rokok 50gr,RM,Buffalo Baret"
2021-05-19,PJ0062,"Sampoerna Mild JR Rokok 50gr,Buffalo Baret"
2021-05-19,PJ0063,Samsu Premium JR Rokok 100gr
2021-05-19,PJ0064,"Filter Mild 50gr,Buffalo Baret"
2021-05-20,PJ0065,"Sampoerna Mild JR Rokok 50gr,Samsu Premium JR Rokok 50gr,Sampoerna Mild JR Rokok 100gr,Black Coffe SW Prime,Alat Linting Kecil Regular,Lem V-tro besar 25gr,Filter Mild 14gr,RM"
2021-05-22,PJ0066,"Grape ICE Jago rasa New50,Cappuchino Milk Duren Simadu,Alat Linting Kecil Regular,Lem V-tro kecil 10gr,Papir rokok,RM,Ppir Naraya,Buffalo Baret,Violin,Country Man,Cengkeh"
2021-05-23,PJ0067,"Sampoerna Mild JR Rokok 50gr,Sampoerna Mild JR Rokok 100gr,Samsu Premium JR Rokok 100gr,Warning 50gr,Guntur Simadu (Hitam),Alat Slorok,3P Cap Nona 150gr Hitam,Buffalo Baret,Violin,Royal Bourbon,Cengkeh,Duren Simadu Strawbery Milky Ice"
2021-05-24,PJ0068,"3PUTRI Cap Nona 75gr Hijau,3P Cap Nona 75gr Hijau,Black Coffe SW Prime,Guntur Simadu,Papir rokok,RM,Buffalo Baret,Duren Simadu Bubblegum Ice"
2021-05-24,PJ0069,RM
2021-05-25,PJ0070,"Sampoerna Mild JR Rokok 100gr,Tembakau Mole cap Jago Jebra Pink 50gr,GAYO,Alat Linting Kecil Regular,Lem V-tro kecil 10gr,Ppir Naraya,Buffalo Baret"
2021-05-26,PJ0071,"Marlboro Menthol JR Rokok 50gr,Jago Mole 333 Kuning,Mole Cap Jago Putih 100 gr,Banana ICE Jago rasa New50,Green tea Duren Simadu,Lem V-tro kecil 10gr,Alat Slorok,Buffalo Baret,Filter Klik Regular Menthol 50gr,Papir Naraya Merah"
2021-05-27,PJ0072,"Mole cap Jago Orange 70 gr,Banana ICE Jago rasa New50,Warning 50gr,Strawberry Millky SW PREMIUM,Mars Brand,Buffalo Baret,Narayana,Duren Simadu Soju Mint"
2021-05-28,PJ0073,"3PUTRI Cap Nona 75gr Hijau,3P Cap Nona 75gr Hijau,Marlboro Menthol JR Rokok 100gr,Jago Mole 333 Kuning,Tembakau Mole cap Jago Jebra Hijau 50gr,Guntur Simadu,RM,Buffalo Baret,Narayana,Duren Simadu Bubblegum Ice"
2021-05-29,PJ0074,"3P ONAN 50gr Putih,Alat Linting Kecil Regular,Buffalo Baret,Duren Simadu Strawbery Milky Ice"
2021-05-30,PJ0075,"3PUTRI Cap Nona 120gr Hitam,3PUTRI Cap Nona 75gr Hijau,3P Cap Nona 120gr Hitam,3P Cap Nona 75gr Hijau,3P ONAN 50gr Putih,Sampoerna Mild JR Rokok 50gr,Surya JR Rokok 50gr,Samsu Premium JR Rokok 50gr,Banana ICE Jago rasa New50,Strawberry Millky SW PREMIUM,Black Coffe SW Prime,Vanilla Sweet Duren Simadu,Lem V-tro kecil 10gr,Filter Regular 14gr,RM,3PUTRI Cap Nona 170gr Putih,Ppir Naraya,Buffalo Baret,Cengkeh,SW White Coffe,Virgin Vanilla,Papir Naraya Merah,Duren Simadu Strawbery Milky Ice,BUSA Regular 35gr,BUSA Mild 35gr,BUSA Karkol 50Gr,BUSA Regular Menthol 35Gr,Plastik Alat Linting,BUSA Klik Regular Menthol 35Gr"
2021-05-30,PJ0076,"Tembakau Mole cap Jago Jebra Pink 50gr,Grape ICE Jago rasa New50,Warning 50gr,Cappucino choice SW PREMIUM,Mole Aroma SW PREMIUM,Black Coffe SW Prime,Vanilla Sweet Duren Simadu,Alat Linting Kecil Regular,Burung Hantu,Ppir Naraya,Country Man,SW White Coffe"
